Nº de producto;Estado;Disponible para la venta;Disponible para la compra;Disponible para integrar otros productos;Compuesto por otros productos;Rubro;Nombre;Código;Código universal de producto (UPC);Código de proveedor;Stock actual;Stock ideal;Stock mínimo;Unidad;Alicuota de IVA;Proveedor;Moneda costo;Costo ($);Utilidad (%);Precio ($);Precio Final ($);Controla stock;Stock negativo;Mostrar en tienda;Nº de publicación en MercadoLibre;Nº de publicación adicional en MercadoLibre;Descripción;Descripción para la tienda;Observaciones Internas;
2;Habilitado;SI;SI;NO;NO;Sin especificar;productos prueba;'pp;'';'';9,000;0,000;0,000;unidad;21%;Sin especificar;Pesos;5,60;50,00;8,40;10,16;SI;SI;NO;0;0;
978;Deshabilitado;NO;NO;NO;NO;Front Nar 13oz;Front Nar 1.80 x 50mts ;'NAR180  ;'';'';0,000;0,000;0,000;unidad;21%;Grafisur;Pesos;215523,19;25,00;269403,99;325978,83;SI;SI;NO;0;0;
981;Habilitado;SI;SI;NO;NO;01 Vinilo de Impresion Oracal 3640/3641 80mic;3640 ORAJET TRANSPARENTE BRILLANTE 126CM 50MTS;'364000126 ;'';''364000126;0,000;0,000;0,000;unidad;21%;Helioday;Pesos;284980,46;29,15;368052,26;445343,23;SI;SI;NO;0;0;
982;Habilitado;SI;SI;NO;NO;Poli Tape;POSICIONADOR TRANSP. POLI-TAPE 30 X 45.70MTS;'PPT30T45;'';''PPT30T45;0,000;0,000;0,000;unidad;21%;Insugraf;Pesos;55544,92;25,00;69431,15;84011,69;SI;SI;NO;0;0;
983;Habilitado;SI;SI;NO;NO;Poli Tape;POSICIONADOR TRANSP. POLI-TAPE 1.22 X 45.70MTS;'PPT122T45;'';''PPT122T45;0,000;0,000;0,000;unidad;21%;Insugraf;Pesos;222179,62;25,00;277724,53;336046,68;SI;SI;NO;0;0;
984;Habilitado;SI;SI;NO;NO;Poli Tape;POSICIONADOR TRANSP. POLI-TAPE  0.61 X 45.70MTS;'PPT061T45;'';''PPT061T45;-1,000;0,000;0,000;unidad;21%;Insugraf;Pesos;111089,82;25,00;138862,28;168023,36;SI;SI;NO;0;0;
988;Habilitado;SI;SI;NO;NO;02 Reflectivos de Impresión;HC320 REFLECTIVO INGENIERIA IMPRIMIBLE BLANCO 122CM S/LAM.;'HC320122;'';''HC320122;0,000;0,000;0,000;metro;21%;Grafisur;Pesos;10161,77;30,00;13210,30;15984,46;SI;SI;NO;0;0;
989;Habilitado;SI;SI;NO;NO;Unical base blanca Matte 80mic;IMPRESION UNICAL BASE BLANCA MATTE 127CM X 50MTS 80MIC ;'VUM120;'';''VUM120;0,000;0,000;0,000;unidad;21%;DIGRAFICA SRL;Pesos;100756,62;23,00;123930,64;149956,07;SI;SI;NO;0;0;;;<p>actualización precios costo y venta 9/06/21. Costo usd 1.46 + Iva. PV Usd 1.90 + Iva m2<br></p>;
990;Habilitado;SI;SI;NO;NO;Sin especificar;Diferencia de precios;'sdif;'';''sdif;-2,000;0,000;0,000;unidad;21%;Insugraf;Pesos;4,92;1,93;5,01;6,06;SI;SI;NO;0;0;
992;Habilitado;SI;SI;NO;NO;04 Vinilo de corte Oracal 651 Metalizados;ORACAL 651-91M GOLD  MATTE - 63CM;'65191M-63 ;'';''65191M-63;-26,600;15,000;5,000;metro;21%;Helioday;Pesos;7581,21;30,00;9855,57;11925,24;SI;SI;NO;0;0;
993;Habilitado;SI;SI;NO;NO;04 Vinilo de corte Oracal 651 Metalizados;ORACAL 651-91M GOLD MATTE -126CM;'65191M ;'';''65191M;-6,500;25,000;15,000;metro;21%;Helioday;Pesos;15162,12;30,00;19710,76;23850,02;SI;SI;NO;0;0;
995;Habilitado;SI;SI;NO;NO;Oracal 8300;8300-31 TRANSPARENT RED - 63CM;'830031-63 ;'';''830031-63;-69,280;10,000;5,000;metro;21%;Helioday;Pesos;9442,75;30,00;12275,58;14853,45;SI;SI;NO;0;0;
996;Habilitado;SI;SI;NO;NO;Sin especificar;Envio CABA;'Envcaba;'';'';-97923,960;0,000;0,000;unidad;21%;Sin especificar;Pesos;2,31;0,00;2,31;2,80;SI;SI;NO;0;0;
999;Habilitado;SI;SI;NO;NO;Car Wrapping;970-704G X 152CM GLOSS SIN CANALES ;'970704G;'';'';0,000;0,000;0,000;metro;21%;Insugraf;Pesos;61497,29;28,00;78716,53;95247,00;SI;SI;NO;0;0;
1000;Habilitado;SI;SI;NO;NO;Car Wrapping;970-00G CLEAR X 152CM GLOSS SIN CANALES;'97000G ;'';'';0,000;0,000;0,000;metro;21%;Insugraf;Pesos;44707,37;25,00;55884,21;67619,89;SI;SI;NO;0;0;
1001;Habilitado;SI;SI;NO;NO;Car Wrapping;970-70G BLACK X 152CM GLOSS SIN CANALES;'97070G  ;'';'';0,000;0,000;0,000;metro;21%;Insugraf;Pesos;64500,62;25,00;80625,78;97557,19;SI;SI;NO;0;0;
1002;Habilitado;SI;SI;NO;NO;Car Wrapping;970-76G X 152CM GLOSS SIN CANALES;'97076G  ;'';'';0,000;0,000;0,000;metro;21%;Insugraf;Pesos;68066,10;27,50;86784,28;105008,98;SI;SI;NO;0;0;
1003;Habilitado;SI;SI;NO;NO;Car Wrapping;970-959G TANGERINE NARANJA X 152CM GLOSS SIN CANALES;'970959G  ;'';'';0,000;0,000;0,000;metro;21%;Insugraf;Pesos;61497,29;25,00;76871,61;93014,65;SI;SI;NO;0;0;
1004;Habilitado;SI;SI;NO;NO;Car Wrapping;970-989G X 152CM GLOSS SIN CANALES;'970989G   ;'';'';0,000;0,000;0,000;metro;21%;Insugraf;Pesos;44821,99;25,00;56027,49;67793,26;SI;SI;NO;0;0;
1009;Habilitado;NO;SI;NO;NO;Posicionador;POSICIONADOR UNICAL PREMIUM 143CM x 40MTS ;'DP52-143 ;'';''DP52-143;160,000;0,000;0,000;unidad;21%;DIGRAFICA SRL;Pesos;87935,36;30,00;114315,97;138322,32;SI;SI;NO;0;0;
1014;Deshabilitado;NO;NO;NO;NO;07 Laminados;Esmerilado ORACAL 63cm de ancho;'ESMORACAL63 ;'';'';16,700;0,000;0,000;metro;21%;Insugraf;Pesos;10188,39;53,00;15588,24;18861,77;SI;NO;NO;0;0;
1015;Habilitado;SI;SI;NO;NO;Sin especificar;Documentacion;'01015;'';'';0,000;0,000;0,000;unidad;21%;Sin especificar;Pesos;0,00;0,00;0,00;0,00;SI;NO;NO;0;0;
1016;Habilitado;SI;SI;NO;NO;Unical Base Blanca Brillante 100mic;IMPRESION UNICAL BASE BLANCA BRILLANTE 100MIC 107CM X 50MTS;'VUBB107;'';''VUBB107;0,000;0,000;0,000;unidad;21%;DIGRAFICA SRL;Pesos;107594,30;23,00;132340,99;160132,60;SI;SI;NO;0;0;
1017;Habilitado;SI;SI;NO;NO;Oracal 8300;8300-31 TRANSPARENT RED 126CM;'830031;'';''830031;-53,300;0,000;10,000;metro;21%;Helioday;Pesos;18885,51;30,00;24551,16;29706,90;SI;SI;NO;0;0;
1021;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE GRIS DARK 01 BRILLANTE  122CM;'VCUGRD01;'';''VCUGR01;-19,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;3838,51;36,99;5258,37;6362,63;SI;SI;NO;0;0;
1022;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE GRIS DARK 01 BRILLANTE  61CM;'VCUGRD01H-504 ;'';''VCUGRD01H;-36,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;1919,43;36,99;2629,43;3181,61;SI;SI;NO;0;0;
1023;Habilitado;SI;SI;NO;NO;MATTE;ORACAL 651-67M MATTE BLUE - 126CM;'65167M ;'';''65167M;-5,300;25,000;15,000;metro;21%;Helioday;Pesos;13339,04;30,00;17340,75;20982,31;SI;SI;NO;0;0;
1024;Habilitado;SI;SI;NO;NO;MATTE;ORACAL 651-67M MATTE BLUE - 63CM;'65167M-63 ;'';''65167M-63;-45,000;15,000;10,000;metro;21%;Helioday;Pesos;6669,61;30,00;8670,49;10491,29;SI;SI;NO;0;0;
1026;Habilitado;SI;SI;NO;NO;Sin especificar;LG6700 BLANCO BRILLANTE 122CM ;'LG6710;'';'';0,000;0,000;0,000;metro;21%;Grafisur;Pesos;10272,07;28,00;13148,25;15909,38;SI;SI;NO;0;0;
1027;Habilitado;SI;SI;NO;NO;MATTE;ORACAL 651-518M MATTE STEEL BLUE -126CM;'651518M;'';''651518M;-6,700;25,000;15,000;metro;21%;Helioday;Pesos;13339,04;30,00;17340,75;20982,31;SI;SI;NO;0;0;
1028;Habilitado;SI;SI;NO;NO;MATTE;ORACAL 651-518M MATTE STEEL BLUE - 63CM;'651518-63M ;'';''651518-63M;0,000;15,000;10,000;metro;21%;Helioday;Pesos;6669,61;30,00;8670,49;10491,29;SI;SI;NO;0;0;
1029;Habilitado;SI;SI;NO;NO;Car Wrapping;970-372MRA X 152CM MATTE CON CANALES ;'970372M;'';'';0,000;0,000;0,000;metro;21%;Insugraf;Pesos;41656,14;27,50;53111,58;64265,01;SI;SI;NO;0;0;
1030;Habilitado;SI;SI;NO;NO;MATTE;ORACAL 651-30M MATTE DARK RED -126CM;'65130M ;'';''65130M;10,000;50,000;25,000;metro;21%;Helioday;Pesos;13339,04;30,00;17340,75;20982,31;SI;SI;NO;0;0;
1031;Habilitado;SI;SI;NO;NO;MATTE;ORACAL 651-30M MATTE DARK RED - 63CM;'65130M-63 ;'';''65130M-63;2,600;10,000;5,000;metro;21%;Helioday;Pesos;6669,61;30,00;8670,49;10491,29;SI;SI;NO;0;0;
1032;Deshabilitado;NO;NO;NO;NO;01 Vinilo de Impresion Oracal 3640/3641 80mic;3640 ORAJET TRANSPARENTE MATTE 105CM 50MTS;'364000M105;'';''364000M105;0,000;0,000;0,000;unidad;21%;Insugraf;Pesos;237483,72;28,10;304216,65;368102,15;SI;NO;NO;0;0;
1033;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE AMARILLO 01 BRILLANTE 61CM;'VCUAM01H ;'';''VCUAM01H;-43,900;15,000;5,000;metro;21%;DIGRAFICA SRL;Pesos;1919,32;36,99;2629,28;3181,43;SI;SI;NO;0;0;
1034;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE BLANCO MATE 122CM;'VCU10M ;'';''VCU10M;-173,500;100,000;50,000;metro;21%;DIGRAFICA SRL;Pesos;3838,81;36,99;5258,79;6363,14;SI;SI;NO;0;0;
1036;Habilitado;SI;SI;NO;NO;Oracal 8300;8300-30 TRANSPARENT DARK RED 126CM;'830030;'';''830030;0,100;0,000;0,000;metro;21%;Insugraf;Pesos;18885,51;30,00;24551,16;29706,90;SI;SI;NO;0;0;
1037;Habilitado;SI;SI;NO;NO;Oracal 8300;8300-30 TRANSPARENT DARK RED - 63CM;'830030-63  ;'';''830030-63;-2,300;10,000;5,000;metro;21%;Helioday;Pesos;8947,47;30,00;11631,71;14074,37;SI;SI;NO;0;0;
1038;Habilitado;SI;NO;NO;NO;01 Vinilo Impresion Lg1740/1750;LG 3912G LAMINADO PREMIUM VEHICULAR 152cm FRACCIONADO;'3912G152F;'';'';0,000;0,000;0,000;metro;21%;Grafisur;Pesos;6677,72;30,00;8681,04;10504,06;SI;SI;NO;0;0;
1040;Habilitado;SI;SI;NO;NO;Unical Base blanca Brillante 80mic;IMPRESION UNICAL BASE BLANCA BRILLANTE 137CM X 50MTS 80MIC;'VUBB137  ;'';''VUBB137;0,000;0,000;0,000;unidad;21%;DIGRAFICA SRL;Pesos;108699,88;23,00;133700,85;161778,03;SI;SI;NO;0;0;<p>actualización precios costo y venta 9/06/21. Costo usd 1.382 + Iva. PV Usa 1.80 + Iva m2<br></p>;
1041;Habilitado;SI;SI;NO;NO;Oraguard 200;ORAGUARD 200G X 105CM X 50MTS.;'OG200105  ;'';''OG200105;0,000;1,000;1,000;unidad;21%;Insugraf;Pesos;386396,71;29,00;498451,76;603126,63;SI;SI;NO;0;0;;;<p><span style= font-family: Arial. Helvetica. sans-serif  font-size: 12px  background-color: rgb(125. 159. 187)  >actualización 9/6/21 usd 2.90 + Iva m2 costo/ PV Usa 3.74 + Iva m2</span><br></p>;
1042;Habilitado;SI;SI;NO;NO;Oraguard 200;ORAGUARD 200G X 137CM X 50MTS.;'OG200137   ;'';''OG200137;0,000;0,000;0,000;unidad;21%;Insugraf;Pesos;504155,71;29,00;650360,87;786936,65;SI;SI;NO;0;0;;;<p><span style= font-family: Arial. Helvetica. sans-serif  font-size: 12px  background-color: rgb(125. 159. 187)  >actualización 9/6/21 usd 2.90 + Iva m2 costo/ PV Usa 3.74 + Iva m2</span><br></p>;
1045;Habilitado;SI;SI;NO;NO;Oraguard 200;ORAGUARD 200G X 155CM X 50MTS.;'OG200155 ;'';''OG200155;0,000;0,000;0,000;unidad;21%;Insugraf;Pesos;570395,14;29,00;735809,73;890329,77;SI;SI;NO;0;0;;;<p><span style= font-family: Arial. Helvetica. sans-serif  font-size: 12px  background-color: rgb(125. 159. 187)  >actualización 9/6/21 usd 2.90 + Iva m2 costo/ PV Usa 3.74 + Iva m2</span><br></p>;
1047;Habilitado;SI;SI;NO;NO;Oraguard 200;ORAGUARD 200G X 155CM FRACCIONADO;'OG200155F ;'';''OG200155F;0,000;0,000;0,000;metro;21%;Insugraf;Pesos;11393,03;60,00;18228,85;22056,91;SI;SI;NO;0;0;;;<p><span style= font-family: Arial. Helvetica. sans-serif  font-size: 12px  background-color: rgb(125. 159. 187)  >actualización 9/6/21 usd 2.90 + Iva m2 costo/ PV Usa 3.74 + Iva m2</span><br></p>;
1048;Habilitado;SI;SI;NO;NO;Car Wrapping;Polarizado intermedio Nano ceramico filtro UV100% 2mil 2ply 20% (10 años) (Vehicular);'UDBK20 ;'';''UDBK20;-39,000;30,000;10,000;metro;21%;Insugraf;Pesos;13606,58;30,00;17688,55;21403,15;SI;SI;NO;0;0;;;<h2 class= node__title  style= margin-top: 10px  margin-bottom: 10px  font-family: &quot Open Sans&quot . Arial. sans-serif  line-height: 1.2  color: rgb(90. 90. 95)  text-rendering: optimizelegibility  font-size: 40px  font-variant-numeric: inherit  font-variant-east-asian: inherit  font-stretch: inherit  vertical-align: baseline  border: 0px  >MITOSUN CAR Series</h2><h2 class= node__title  style= margin-top: 10px  margin-bottom: 10px  font-family: &quot Open Sans&quot . sans-serif  line-height: 1.2  color: rgb(70. 65. 51)  text-rendering: optimizelegibility  font-size: 31.5px  caret-color: rgb(70. 65. 51)  font-variant-numeric: inherit  font-variant-east-asian: inherit  font-stretch: inherit  vertical-align: baseline  border: 0px  ><span style= font-size: 18px  ><b>Nano Ceramic Polymer - 2PLY / 2MIL / 10 YEARS (VL 35%)&nbsp </b></span></h2><h1 class= node__subtitle  style= margin-bottom: 0px  font-family: &quot Open Sans&quot . Arial. sans-serif  font-weight: 300  line-height: 24px  color: rgb(90. 90. 95)  text-rendering: optimizelegibility  font-size: 18px  font-variant-numeric: inherit  font-variant-east-asian: inherit  font-stretch: inherit  vertical-align: baseline  border: 0px  ><div id= unit-jnIuaxoDXl  animate=   package-item= unit  package-type= text  package-unit-type= text  style= padding-bottom: 10px  padding-top: 10px  color: rgb(0. 0. 0)  font-family: Mulish  font-size: 16px  ><div class= unit-text row no-gutters  text-style= 2  style= font-size: 18px  letter-spacing: 0px  line-height: 1.5  font-family: &quot Arial Bold&quot   ><div class= unit-text__item col-12 col-md-12 col-xl-12  style= width: 257.217px  ><span style= font-family: Mulish. sans-serif  font-size: 16px  letter-spacing: 0.48px  >? Nanocerámica de primer nivel. fabricada con los mejores materiales y recubrimiento y curado de precisión avanzada.</span><div tinymce=  ></div></div></div></div></h1><h1 class= node__subtitle  style= margin-bottom: 0px  font-family: &quot Open Sans&quot . Arial. sans-serif  font-weight: 300  line-height: 24px  color: rgb(90. 90. 95)  text-rendering: optimizelegibility  font-size: 18px  font-variant-numeric: inherit  font-variant-east-asian: inherit  font-stretch: inherit  vertical-align: baseline  border: 0px  ><div id= unit-iAvRT9kZOw  animate=   package-item= unit  package-type= text  package-unit-type= text  style= padding-bottom: 10px  padding-top: 10px  color: rgb(0. 0. 0)  font-family: Mulish  font-size: 16px  ><div class= unit-text row no-gutters  text-style= 3  style= letter-spacing: 0.03em  line-height: 1.5  font-family: Mulish. sans-serif  ><div class= unit-text__item col-12 col-md-12 col-xl-12  style= width: 257.217px  ><div tinymce=  ><div style= letter-spacing: 0.48px  line-height: 1.75  ><div style= letter-spacing: 0.48px  line-height: 1.75  >? La nanocerámica se aplica a una base de poliéster mediante técnicas de recubrimiento de precisión. como el recubrimiento con ranura. Esto deposita una capa fina y uniforme sobre la película.</div><div style= letter-spacing: 0.48px  line-height: 1.75  ><br></div><div style= letter-spacing: 0.48px  line-height: 1.75  >? Todo se inspecciona en busca de defectos para garantizar que cumpla con las especificaciones de densidad óptica.</div><div style= letter-spacing: 0.48px  line-height: 1.75  ><br></div><div style= letter-spacing: 0.48px  line-height: 1.75  >? 2 mils de espesor. 10 años de garantía.</div></div></div></div></div></div></h1>;
1049;Habilitado;SI;SI;NO;NO;Car Wrapping;Polarizado Oscuro Nano ceramico filtro UV100% 2mil 2ply 5% (10 años) (Vehicular);'UDBK05  ;'';''UDBK05;18,000;30,000;10,000;metro;21%;Pro SRL;Pesos;13210,28;30,00;17173,36;20779,77;SI;SI;NO;0;0;;;<h2 class= &quot node__title&quot   10px =   margin-bottom:=   font-family:=   &quot open=   sans&quot .=   arial.=   sans-serif =   line-height:=   1.2 =   color:=   rgb(90.=   90.=   95) =   text-rendering:=   optimizelegibility =   font-size:=   40px =   font-variant-numeric:=   inherit =   font-variant-east-asian:=   font-stretch:=   vertical-align:=   baseline =   border:=   0px  =   style= caret-color: rgb(51. 51. 51)  color: rgb(51. 51. 51)  font-family: tahoma. arial  MITOSUN CAR Series/h2h2 class= &quot node__title&quot   10px =   margin-bottom:=   font-family:=   &quot open=   sans&quot .=   sans-serif =   line-height:=   1.2 =   color:=   rgb(70.=   65.=   51) =   text-rendering:=   optimizelegibility =   font-size:=   31.5px =   caret-color:=   font-variant-numeric:=   inherit =   font-variant-east-asian:=   font-stretch:=   vertical-align:=   baseline =   border:=   0px  =   style= caret-color: rgb(51. 51. 51)  color: rgb(51. 51. 51)  font-family: tahoma. arial  ><span 18px  =  span style= font-weight: bolder  Nano Ceramic Polymer - 2PLY / 2MIL / 10 YEARS (VL 35%)&nbsp /span/span/h2h1 class= &quot node__subtitle&quot   0px =   font-family:=   &quot open=   sans&quot .=   arial.=   sans-serif =   font-weight:=   300 =   line-height:=   24px =   color:=   rgb(90.=   90.=   95) =   text-rendering:=   optimizelegibility =   font-size:=   18px =   font-variant-numeric:=   inherit =   font-variant-east-asian:=   font-stretch:=   vertical-align:=   baseline =   border:=   0px  =   style= caret-color: rgb(51. 51. 51)  color: rgb(51. 51. 51)  font-family: tahoma. arial  ><div id= &quot unit-jnIuaxoDXl&quot   animate= &quot &quot   package-item= &quot unit&quot   package-type= &quot text&quot   package-unit-type= &quot text&quot   10px =   padding-top:=   color:=   rgb(0.=   0.=   0) =   font-family:=   mulish =   font-size:=   16px  =  div class= &quot unit-text  row=   no-gutters =   text-style= &quot 2&quot   18px =   letter-spacing:=   0px =   line-height:=   1.5 =   font-family:=   &quot arial=   bold&quot   =  div class= &quot unit-text__item  col-12=   col-md-12=   col-xl-12 =   257.217px  =  span mulish.=   sans-serif =   font-size:=   16px =   letter-spacing:=   0.48px  =  >? Nanocerámica de primer nivel. fabricada con los mejores materiales y recubrimiento y curado de precisión avanzada.</span><div tinymce= &quot &quot  ></div></div></div></div></h1><h1 class= &quot node__subtitle&quot   0px =   font-family:=   &quot open=   sans&quot .=   arial.=   sans-serif =   font-weight:=   300 =   line-height:=   24px =   color:=   rgb(90.=   90.=   95) =   text-rendering:=   optimizelegibility =   font-size:=   18px =   font-variant-numeric:=   inherit =   font-variant-east-asian:=   font-stretch:=   vertical-align:=   baseline =   border:=   0px  =   style= caret-color: rgb(51. 51. 51)  color: rgb(51. 51. 51)  font-family: tahoma. arial  div id= &quot unit-iAvRT9kZOw&quot   animate= &quot &quot   package-item= &quot unit&quot   package-type= &quot text&quot   package-unit-type= &quot text&quot   10px =   padding-top:=   color:=   rgb(0.=   0.=   0) =   font-family:=   mulish =   font-size:=   16px  =  ><div class= &quot unit-text  row=   no-gutters =   text-style= &quot 3&quot   0.03em =   line-height:=   1.5 =   font-family:=   mulish.=   sans-serif  =  ><div class= &quot unit-text__item  col-12=   col-md-12=   col-xl-12 =   257.217px  =  ><div tinymce= &quot &quot  ><div 0.48px =   line-height:=   1.75  =  div 0.48px =   line-height:=   1.75  =  >? La nanocerámica se aplica a una base de poliéster mediante técnicas de recubrimiento de precisión. como el recubrimiento con ranura. Esto deposita una capa fina y uniforme sobre la película.</div><div 0.48px =   line-height:=   1.75  =  br/divdiv 0.48px =   line-height:=   1.75  =  >? Todo se inspecciona en busca de defectos para garantizar que cumpla con las especificaciones de densidad óptica.</div><div 0.48px =   line-height:=   1.75  =  br/divdiv 0.48px =   line-height:=   1.75  =  >? 2 mils de espesor. 10 años de garantía.</div></div></div></div></div></div></h1>;
1050;Habilitado;SI;SI;NO;NO;Cepillados/cromados;Vinilo Holografico Tornasolado silver Corte 61cm Rainbow;'VHT-61;'';''SAVLS;9,000;100,000;10,000;metro;21%;Pro SRL;Pesos;2467,85;30,00;3208,21;3881,93;SI;SI;NO;0;0;
1052;Habilitado;SI;SI;NO;NO;01 Vinilos de Impresión;Arlon DPF510 MT Impresion Mate base gris 1.52 fraccionado;'ARL152F;'';'';-0,100;0,000;0,000;metro;21%;Grafisur;Pesos;8564,90;1,70;8710,50;10539,71;SI;SI;NO;0;0;;;<p>tiene un 10% de descuento hecho ya que comprando 10 rollos (siempre combinan con Lg para adquirir el desc)&nbsp <br></p>;
1057;Habilitado;SI;SI;NO;NO;Vinilos de Corte;VINILO CORTE FLUO AMARILLO 61CM;'VCUFLA61 ;'';''VCUFLA61;-7,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;3436,65;39,05;4778,66;5782,18;SI;SI;NO;0;0;
1058;Habilitado;SI;SI;NO;NO;Oraguard 200;ORAGUARD 200G X 105CM FRACCIONADO;'OG200105F;'';''OG200105F;10,000;0,000;0,000;metro;21%;Insugraf;Pesos;7727,94;60,00;12364,70;14961,29;SI;SI;NO;0;0;;;<p><span style= font-family: Arial. Helvetica. sans-serif  font-size: 12px  background-color: rgb(125. 159. 187)  >actualización 9/6/21 usd 2.90 + Iva m2 costo/ PV Usa 3.74 + Iva m2</span><br></p>;
1060;Habilitado;SI;SI;NO;NO;Front Nar 13oz;Front Matte Nar 0.80 FRACCIONADA (5MTS.MIN);'DPI080M;'';'';35,000;0,000;0,000;metro;21%;Grafisur;Pesos;1451,68;20,00;1742,02;2107,84;SI;SI;NO;0;0;
1061;Habilitado;SI;SI;NO;NO;Backlite Ultraflex;LONA BACKLITE ULTRAFLEX 250CM X 50MTS;'BACKULI250;'';''BACKUNI250;0,000;0,000;0,000;unidad;21%;Geo Digital;Pesos;262853,70;22,00;320681,51;388024,63;SI;SI;NO;0;0;;;<p>actualización 9/6/21 use 1.53 + Iva m2 costo<br></p>;
1062;Habilitado;SI;SI;NO;NO;Backlite Ultraflex;LONA BACKLITE ULTRAFLEX 320CM X 50MTS;'BACKULI320 ;'';''BACKUL320;1,000;0,000;0,000;unidad;21%;Geo Digital;Pesos;484594,08;0,00;484594,08;586358,84;SI;SI;NO;0;0;;;<p>actualización 9/6/21 use 1.53 + Iva m2 costo<br></p>;
1063;Habilitado;SI;SI;NO;NO;01 Vinilo de Impresion Oracal 3640/3641 80mic;3640 ORAJET IMPRESION BRILLANTE BASE BLANCA 137CM FRACCIONADO;'364010137F;'';''364010137F;0,000;0,000;0,000;metro;21%;Helioday;Pesos;6197,49;35,00;8366,61;10123,60;SI;SI;NO;0;0;
1064;Habilitado;SI;SI;NO;NO;Posicionador;POSICIONADOR UNICAL COMUN 143CM x 40MTS ;'DP52-143C;'';''DP52-143C;123,000;0,000;0,000;unidad;21%;DIGRAFICA SRL;Pesos;62810,98;30,00;81654,27;98801,67;SI;SI;NO;0;0;
1065;Habilitado;SI;SI;NO;NO;Hyflex Transparente Brillante o matte 80mic;Impresion Hyflex Transparente Matte 1.07 x 50mts;'HFV107;'';''HFV107;0,000;2,000;1,000;unidad;21%;Insugraf;Pesos;179012,51;27,00;227345,89;275088,53;SI;SI;NO;0;0;;;<p>tiene un 10% de descuento hecho ya que comprando 10 rollos (siempre combinan con Lg para adquirir el desc)&nbsp <br></p>;
1066;Habilitado;SI;SI;NO;NO;Hyflex Transparente Brillante o matte 80mic;Impresion Hyflex Transparente Matte 1.27 x 50mts;'HFV127 ;'';''HFV127;0,000;2,000;1,000;unidad;21%;Insugraf;Pesos;212472,81;27,00;269840,47;326506,97;SI;SI;NO;0;0;;;<p>tiene un 10% de descuento hecho ya que comprando 10 rollos (siempre combinan con Lg para adquirir el desc)&nbsp <br></p>;
1067;Habilitado;SI;SI;NO;NO;Hyflex Transparente Brillante o matte 80mic;Impresion Hyflex Transparente Matte 1.37 x 50mts ;'HFV137 ;'';''HFV137;0,000;2,000;1,000;unidad;21%;Insugraf;Pesos;229202,95;27,00;291087,75;352216,18;SI;SI;NO;0;0;;;<p>tiene un 10% de descuento hecho ya que comprando 10 rollos (siempre combinan con Lg para adquirir el desc)&nbsp <br></p>;
1068;Habilitado;SI;SI;NO;NO;Hyflex Transparente Brillante o matte 80mic;Impresion Hyflex Transparente Matte 1.52 x 50mts Hyflex;'HFV152;'';''HFV152;0,000;2,000;1,000;unidad;21%;Insugraf;Pesos;254298,15;27,00;322958,65;390779,97;SI;SI;NO;0;0;;;<p>tiene un 10% de descuento hecho ya que comprando 10 rollos (siempre combinan con Lg para adquirir el desc)&nbsp <br></p>;
1069;Habilitado;SI;SI;NO;NO;Oraguard 200;ORAGUARD 200M MATTE X 155CM X 50MTS.;'OG200M155  ;'';''OG200155M;0,000;0,000;0,000;unidad;21%;Insugraf;Pesos;570395,14;29,00;735809,73;890329,77;SI;SI;NO;0;0;;;<p><span style= font-family: Arial. Helvetica. sans-serif  font-size: 12px  background-color: rgb(125. 159. 187)  >actualización 9/6/21 usd 2.90 + Iva m2 costo/ PV Usa 3.74 + Iva m2</span><br></p>;
1070;Habilitado;SI;SI;NO;NO;01 Vinilo Impresion Lg2710/2700 G y M;LG 2700G BASE BLANCA 105CM FRACCIONADO;'LG2700G105F ;'';''LG2700G105F;-45,300;0,000;0,000;metro;21%;Grafisur;Pesos;4334,45;50,00;6501,68;7867,03;SI;SI;NO;0;0;
1071;Habilitado;SI;SI;NO;NO;Poli Tape;POSICIONADOR TRANSP. POLI-TAPE  0.20 X 45.70MTS;'PPT020T45 ;'';''PPT020T45;0,000;0,000;0,000;unidad;21%;Insugraf;Pesos;36421,39;25,00;45526,74;55087,36;SI;SI;NO;0;0;
1072;Habilitado;SI;SI;NO;NO;01 Vinilo Impresion Lg2710/2700 G y M;LG 2700G BASE BLANCA 127CM fraccionado;'LG2700G127F;'';''LG2700G127F;0,000;2,000;1,000;metro;21%;Grafisur;Pesos;6943,55;42,50;9894,56;11972,42;SI;SI;NO;0;0;
1073;Habilitado;SI;SI;NO;NO;01 Vinilo Impresion Lg2710/2700 G y M;LG 2700G BASE BLANCA 137CM fraccionado;'LG2700G137F;'';''LG2700G137F;50,000;2,000;1,000;metro;21%;Grafisur;Pesos;7490,25;42,50;10673,61;12915,07;SI;SI;NO;0;0;
