Nº de producto;Estado;Disponible para la venta;Disponible para la compra;Disponible para integrar otros productos;Compuesto por otros productos;Rubro;Nombre;Código;Código universal de producto (UPC);Código de proveedor;Stock actual;Stock ideal;Stock mínimo;Unidad;Alicuota de IVA;Proveedor;Moneda costo;Costo ($);Utilidad (%);Precio ($);Precio Final ($);Controla stock;Stock negativo;Mostrar en tienda;Nº de publicación en MercadoLibre;Nº de publicación adicional en MercadoLibre;Descripción;Descripción para la tienda;Observaciones Internas;
2;Habilitado;SI;SI;NO;NO;Sin especificar;productos prueba;'pp;'';'';9,000;0,000;0,000;unidad;21%;Sin especificar;Pesos;5,60;50,00;8,40;10,16;SI;SI;NO;0;0;
78;Habilitado;SI;SI;NO;NO;Unical Base Gris Brillante 80mic;IMPRESION UNICAL BASE GRIS BRILLANTE 127CM X 50MTS 80MIC;'VUBG12780MIC;'';''VUBG12780MIC;0,000;0,000;0,000;unidad;21%;DIGRAFICA SRL;Pesos;123921,61;23,00;152423,58;184432,53;SI;SI;NO;0;0;;;<p>actualización precios costo y venta 9/06/21. Costo usa 1.41 + Iva. PV Usa 1.80 + Iva m2<br></p>;
79;Habilitado;SI;SI;NO;NO;Unical Base Gris Brillante 80mic;IMPRESION UNICAL BASE GRIS BRILLANTE 137CM X 50MTS 80MIC;'VUBG13780MIC;'';''VUBG13780MIC;0,000;0,000;0,000;unidad;21%;DIGRAFICA SRL;Pesos;133688,76;23,00;164437,17;198968,98;SI;SI;NO;0;0;;;<p>actualización precios costo y venta 9/06/21. Costo usa 1.41 + Iva. PV Usa 1.80 + Iva m2<br></p>;
80;Habilitado;SI;SI;NO;NO;Unical Base Gris Brillante 80mic;IMPRESION UNICAL BASE GRIS BRILLANTE 152CM X 50MTS 80MIC;'VUBG15280MIC;'';''VUBG15280MIC;0,000;0,000;0,000;unidad;21%;DIGRAFICA SRL;Pesos;148313,89;23,00;182426,08;220735,56;SI;SI;NO;0;0;;;<p>actualización precios costo y venta 9/06/21. Costo usa 1.41 + Iva. PV Usa 1.80 + Iva m2<br></p>;
81;Habilitado;SI;SI;NO;NO;Unical Base blanca Brillante 80mic;IMPRESION UNICAL BASE BLANCA BRILLANTE 107CM X 50MTS 80MIC;'VUBB106;'';''VUBB106;0,000;0,000;0,000;unidad;21%;DIGRAFICA SRL;Pesos;84887,17;23,00;104411,22;126337,58;SI;SI;NO;0;0;<p>actualización precios costo y venta 9/06/21. Costo usd 1.382 + Iva. PV Usa 1.80 + Iva m2<br></p>;
83;Habilitado;SI;SI;NO;NO;Unical Base blanca Brillante 80mic;IMPRESION UNICAL BASE BLANCA BRILLANTE 127CM X 50MTS 80MIC;'VUBB127;'';''VUBB127;0,000;0,000;0,000;unidad;21%;DIGRAFICA SRL;Pesos;100756,62;23,00;123930,64;149956,07;SI;SI;NO;0;0;;;<p>actualización precios costo y venta 9/06/21. Costo usd 1.382 + Iva. PV Usa 1.80 + Iva m2<br></p>;
85;Habilitado;SI;SI;NO;NO;Unical Base blanca Brillante 80mic;IMPRESION UNICAL BASE BLANCA BRILLANTE 152CM X 50MTS 80MIC;'VUBB152;'';''VUBB152;0,000;0,000;0,000;unidad;21%;DIGRAFICA SRL;Pesos;120597,71;23,00;148335,18;179485,57;SI;SI;NO;0;0;;;<p>actualización precios costo y venta 9/06/21. Costo usd 1.382 + Iva. PV Usa 1.80 + Iva m2<br></p>;
86;Habilitado;SI;SI;NO;NO;Unical Transparente Brillante o Matte 80mic;IMPRESION UNICAL TRANSPARENTE BRILLANTE 107CM X 50MTS 80MIC;'VUTG107;'';''VUTG107;0,000;0,000;0,000;unidad;21%;DIGRAFICA SRL;Pesos;107336,23;29,15;138624,74;167735,94;SI;SI;NO;0;0;;;<p>actualización precios costo y venta 9/06/21. Costo usd 1.505 + Iva. PV Usd 1.90 + Iva m2<br></p>;
87;Habilitado;SI;SI;NO;NO;Unical Transparente Brillante o Matte 80mic;IMPRESION UNICAL TRANSPARENTE BRILLANTE 137CM X 50MTS 80MIC;'VUTG137;'';''VUTG137;0,000;0,000;0,000;unidad;21%;DIGRAFICA SRL;Pesos;136973,16;29,15;176900,84;214050,02;SI;SI;NO;0;0;;;<p>actualización precios costo y venta 9/06/21. Costo usd 1.505 + Iva. PV Usd 1.90 + Iva m2<br></p>;
88;Habilitado;SI;SI;NO;NO;Unical Transparente Brillante o Matte 80mic;IMPRESION UNICAL TRANSPARENTE BRILLANTE 152CM X 50MTS 80MIC;'VUTG152;'';''VUTG152;-1,000;0,000;0,000;unidad;21%;DIGRAFICA SRL;Pesos;152473,02;29,15;196918,91;238271,88;SI;SI;NO;0;0;
91;Habilitado;SI;SI;NO;NO;Unical base blanca Matte 80mic;IMPRESION UNICAL BASE BLANCA MATTE 137CM X 50MTS 80MIC ;'VUM137;'';''VUM137;0,000;0,000;0,000;unidad;21%;DIGRAFICA SRL;Pesos;108699,88;23,00;133700,85;161778,03;SI;SI;NO;0;0;;;<p>actualización precios costo y venta 9/06/21. Costo usd 1.46 + Iva. PV Usd 1.90 + Iva m2<br></p>;
